cache_set,mutual_info_bits,snr
91136,1.1016241834449638,1.7830482659194409
67264,1.1002900078827662,1.3617776827182713
103424,1.0032989116801214,0.8529274749479594
53248,0.9606964057010388,0.7988553625428171
41984,0.9550271876470635,1.1844852476261922
58368,0.9497683827398926,1.3830232872180828
57344,0.9297601569671028,1.256113058013611
102016,0.9251509213450685,0.4941937953743998
81600,0.9125923915280238,0.7424656185364079
80192,0.904672623228307,0.8047498832110974
128000,0.8869089636636588,1.3837852500730785
53760,0.8866402236082886,0.7242078800192756
113792,0.8817417588981105,0.711120053623303
89152,0.8780793063984682,1.540596006408155
111744,0.8765310985232123,0.7078356559606992
48640,0.871940310903931,0.7723788519780879
122368,0.8705145263231054,0.9665373246430634
101312,0.8616307538196432,0.6098169054555206
76800,0.8574519892723319,1.2249646261128657
39424,0.8558919883987225,1.0289365370675425
47616,0.8553605693645504,1.0323501236561763
105088,0.8546195474233813,0.8117907306737357
103296,0.8529669771647697,0.760290998592235
87680,0.85017827230513,0.8407254376584276
102272,0.847690188720204,0.9202591874009747
105408,0.84677405316083,1.1181572555278265
102080,0.8461019602204337,0.6255788084565984
110208,0.8410182401019365,0.6795800459684218
126080,0.8407978283446073,0.8163373528044524
41472,0.8376070312274637,1.8454802432070885
55424,0.8341131414331989,1.0304577916804294
66560,0.8311554104836676,0.7260427755198424
75456,0.8225823511216582,0.5341091947085066
85120,0.8224963906048007,0.6226298879123949
101824,0.8120945361382719,0.6214539126870525
43456,0.8105162325544356,0.5328037702234355
106368,0.8098584013829955,0.619505648077092
115840,0.8087543279184479,0.4195288363197701
52352,0.8033350448857042,0.7571334054650154
96448,0.8032155736580594,0.7302546044995284
71680,0.8018434006599588,0.9025508928172091
42496,0.7999325191836077,0.6917522890251869
44544,0.7996175786726974,1.6317801764603515
58048,0.7990055906143602,0.43600896845420384
79808,0.7974241946776995,0.9141597320507144
76160,0.7965765394662737,0.8309140703906598
59904,0.7936675911232315,0.5531869179649994
54272,0.7922256200267566,1.030311042872006
123200,0.7880130832672748,0.5666387790915653
77760,0.7879281694171866,0.717366235852348
39104,0.7869393802302351,0.4909006838365277
122624,0.785951348862057,0.570113252033537
79552,0.7857586034088916,0.7309283860984354
87168,0.784030266053127,0.8961017443525148
109696,0.7837073940919237,0.30580929827588993
64512,0.7824074676180409,0.42171307274466663
96768,0.7809364695869436,0.7064960789286214
74432,0.7807372862667766,0.9378438711780567
97920,0.7791874936615907,0.9310060050683935
55168,0.7791144617697254,0.6974057336653727
76352,0.7752197307379858,0.521238404016841
80512,0.7735985507761597,0.36654494218103334
73664,0.772356013642552,0.5962833941043045
104640,0.7707688139005457,0.828909674332397
62464,0.7699969422446704,0.45958383087010724
62144,0.7684382110381605,0.8435274702959564
117696,0.7677519368647241,0.8469251368802767
75776,0.7672212501055493,1.1784074191419025
106816,0.7672130668499765,0.7841029380898322
97088,0.7654038079006042,0.720693869096408
107392,0.7643034986215501,0.6402677923044082
40128,0.7635633252638836,0.7448919529771333
42112,0.7625402291177557,0.3210489745161341
70656,0.7593871428051027,0.5221020748957506
91520,0.7593304317373268,0.7701301809747267
48128,0.7584420106334615,1.01584358205513
93568,0.7578809968841576,0.7213959044609375
47296,0.7570550961293008,0.43731586561418495
97024,0.7566375896883073,0.8365713212565168
94208,0.7559655303819215,0.6988474062831763
37376,0.7536295764729426,0.9126424942787403
111424,0.7529468248459638,0.6269247603504816
110144,0.7514454964783116,0.6502145792098316
89856,0.7504531490260421,0.776027879551018
113280,0.7494492330918487,0.6935160662033965
26112,0.7487792464117833,1.4041675939146079
113536,0.7486476723075831,0.5373277358715655
41088,0.7462750280699357,0.4650616157841151
102400,0.7461131379776614,0.7516475523352139
99136,0.741889593361931,0.6200272485471178
68608,0.7418687942918466,0.44277049320936646
123072,0.7409257006884201,0.8747136894476221
108480,0.7408677182508667,0.6875170963609166
100608,0.7407826753761532,0.7752257854486986
45248,0.7406831006518491,0.29852771462968164
42560,0.740156377635793,0.44117579895223674
102144,0.7386630732859403,0.6614351457228947
93696,0.7384669308195466,0.6036744346971568
81152,0.7380381667834849,0.35479345507500304
51712,0.7377260159611553,1.2800986392845735
111104,0.7373370839721283,0.4365372349774268
43136,0.7365334610054768,0.2600494471570032
67008,0.7363548257551609,0.649331198969451
126720,0.7353189664465616,0.7234422427116461
56320,0.7350153497784699,0.9032303833056968
72320,0.7349855993341919,0.7647973445330061
33984,0.7346130796897955,0.4304075252110773
110464,0.7339229961759516,0.4588843047608567
67776,0.7323051880482837,0.6332640415071144
101760,0.7318877136496735,0.7808206376251917
108800,0.7315317434617107,0.7147318799271197
111936,0.7310885155077937,0.37603619721801107
117184,0.7309208468264928,0.7397987627999073
115456,0.7308248673111132,0.7037011175439846
112128,0.7306972319089144,0.48820366045805846
125568,0.7305172587443303,0.7128620527797653
116608,0.7303756978783836,0.5002705877316612
65216,0.7295870768887683,0.4803954443330216
35968,0.7289302469779405,0.6854717213770143
76928,0.7257863309951678,0.5035487101082329
115712,0.7253980207551305,0.6434314599285051
99008,0.72537100097808,0.6560638493735951
127488,0.72482366790356,1.3779197762142266
45440,0.7246719039077375,0.3614698550522337
112832,0.7244134862774734,0.6325124053894424
62784,0.7227681726253865,0.3562300312607958
57024,0.7226688553155369,0.3738939872219143
82624,0.7219835355666355,0.6643724075861195
66112,0.7217618706620101,0.5342366492173084
77824,0.7214154829922143,0.6855275220041916
101376,0.7210689467591457,0.7990554274958074
107968,0.7210469080292617,0.580070314476017
80064,0.7203045718904382,0.5605525802155882
101568,0.7194582438089865,0.39456795229450514
64128,0.7192137587495017,0.6415793405686788
106112,0.7187666945863158,0.558222574967153
115328,0.7186914559311297,0.5937172322706971
52736,0.7182983671220847,0.6209930608804571
82496,0.7180960556830316,0.45518653891310196
101952,0.7171464124128015,0.632956987508565
80960,0.7163502557999394,0.7570643786261448
85696,0.7157389660357649,0.7575248040236029
99904,0.7136315437836506,0.5142578154961575
51648,0.7123796654680266,0.4597713819665746
104768,0.7108134429158447,0.5895636832072502
86656,0.7107961420255133,0.5192463553371609
80256,0.710618589471744,0.6651072364468403
95872,0.7103808630094561,0.5831375701766703
125696,0.7097974063945263,0.7137935905974532
98112,0.7096674634716114,0.6774087305685942
102656,0.7092732213526466,0.7443697939312278
28160,0.7090575721138707,0.31382622416587547
77248,0.7083560865407421,0.705307362651699
108864,0.7077292830874008,0.4222533222818707
96128,0.7073723173969181,0.6056990878240118
83904,0.7071288260517661,0.5112674303461608
83392,0.7068438640880115,0.610743272987999
50048,0.70654454680131,0.6297245573243077
54400,0.7062518640099169,0.5822525505808271
30848,0.7062125843282697,0.3675615195952502
77952,0.7059109342076014,0.6197789835102587
127680,0.705858224752551,0.6675091153138021
43200,0.7058058902302925,0.5002308968844982
102784,0.7057588189572085,0.5908944527388088
56832,0.7052535115238636,0.4163543669641023
78528,0.7051864720500448,0.5917046615507543
109824,0.7040178074690668,0.5927924348739947
63872,0.7024351746492508,0.7821223169851469
93376,0.700368925011395,0.3576500016440705
21760,0.7003063031294092,0.5114395074210041
120384,0.6992117673303829,1.0508159206042644
126208,0.6989494147609375,0.5666739747960827
104192,0.6986896348772739,0.6015630287536015
104704,0.6976460392619774,0.6390403352787135
72960,0.6974424426127285,0.6457240701663343
58880,0.6970226798459079,1.1924366463240712
99584,0.6968956231018748,0.6813180668317483
